,Time,Analytical_Value,Delta,Short_Position,Gamma,Theta,Speed,Vega,Setting
0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Init: 0.66, Maint: 0.75, Limit: 750000, Slippage: 0.88"
1,0.99860529986053,1.3140142079448811e-18,-3.3306690738754696e-16,4.267174848765161e-12,8.858796179830104e-14,-3.204853714674553e-14,-1.1295611003001167e-11,2.102874819468795e-16,"Init: 0.66, Maint: 0.75, Limit: 750000, Slippage: 0.88"
2,0.99721059972106,4.041968526712794e-11,-5.417668313967283e-09,6.94098916930632e-05,7.097946495954954e-07,-2.5705144475189557e-07,-4.54980955246115e-05,3.3697790655270028e-09,"Init: 0.66, Maint: 0.75, Limit: 750000, Slippage: 0.88"
3,0.99581589958159,1.60568773525799e-08,-1.4689479707064024e-06,0.018819815765873795,0.0001301635640273242,-4.718663240594291e-05,-0.005592441339327012,9.269352482516346e-07,"Init: 0.66, Maint: 0.75, Limit: 750000, Slippage: 0.88"
4,0.9944211994421199,3.5760163937886374e-07,-2.5074517625789383e-05,0.32124881993511345,0.0016892920398433513,-0.0006130078125914529,-0.05472782676096425,1.603996579762795e-05,"Init: 0.66, Maint: 0.75, Limit: 750000, Slippage: 0.88"
5,0.99302649930265,2.4533006059378995e-06,-0.0001404240099991405,1.7990793751654592,0.0076673861227328265,-0.002785035489582826,-0.19978300927213966,9.100307130527677e-05,"Init: 0.66, Maint: 0.75, Limit: 750000, Slippage: 0.88"
6,0.9916317991631799,9.229456487523267e-06,-0.0004486347366515764,5.7478026848654915,0.02066858681409473,-0.007514627805059945,-0.45117623039435206,0.00029437487814196347,"Init: 0.66, Maint: 0.75, Limit: 750000, Slippage: 0.88"
7,0.9902370990237099,2.446747421135445e-05,-0.0010377267521975986,13.295110978155119,0.041469015686422986,-0.0150912610315505,-0.7800198404774308,0.0006890654550962649,"Init: 0.66, Maint: 0.75, Limit: 750000, Slippage: 0.88"
8,0.9888423988842399,5.19055564358311e-05,-0.0019589213517146042,25.097239435496522,0.06928420828471,-0.025236757820899715,-1.1463189507120504,0.0013157184252233056,"Init: 0.66, Maint: 0.75, Limit: 750000, Slippage: 0.88"
9,0.9874476987447699,9.465608096394674e-05,-0.0032264653769310536,41.33671524091668,0.10255998458292678,-0.037391046957128284,-1.51623303917656,0.002191084705166109,"Init: 0.66, Maint: 0.75, Limit: 750000, Slippage: 0.88"
10,0.9860529986052998,0.00015498834626005015,-0.004827421043864244,61.84778255021368,0.13958172532301028,-0.05093331404221278,-1.8668808556712093,0.003313349686361212,"Init: 0.66, Maint: 0.75, Limit: 750000, Slippage: 0.88"
11,0.9846582984658299,0.00023434267085410687,-0.006732419759143737,86.25417785538272,0.1787966319994765,-0.0652995376548377,-2.185247016065259,0.004668643688890327,"Init: 0.66, Maint: 0.75, Limit: 750000, Slippage: 0.88"
12,0.9832635983263598,0.0003334505358732927,-0.008904078262377935,114.07695562034792,0.21893514467373468,-0.08002721603605865,-2.4654852974290895,0.006236421204218322,"Init: 0.66, Maint: 0.75, Limit: 750000, Slippage: 0.88"
13,0.9818688981868898,0.000452484550259407,-0.01130264202580511,144.80679018943255,0.2590247450245466,-0.09476092766207707,-2.706381029075624,0.00799324856037588,"Init: 0.66, Maint: 0.75, Limit: 750000, Slippage: 0.88"
14,0.9804741980474198,0.0005912010093661706,-0.013889388122244495,177.94757253087363,0.29835667894947887,-0.10924065313764163,-2.909446024100947,0.009915223564307728,"Init: 0.66, Maint: 0.75, Limit: 750000, Slippage: 0.88"
15,0.9790794979079498,0.0007490606898541904,-0.01662846565312137,213.03998936763736,0.33643798579967493,-0.12328462968213787,-3.077631897560505,0.011979398006612641,"Init: 0.66, Maint: 0.75, Limit: 750000, Slippage: 0.88"
16,0.9776847977684798,0.0009253249873139094,-0.01948773348903521,249.6722561124629,0.37294393665213366,-0.13677225183370878,-3.2145169416732053,0.014164532472165405,"Init: 0.66, Maint: 0.75, Limit: 750000, Slippage: 0.88"
17,0.9762900976290098,0.0011191294674915975,-0.02243899354070089,287.4831054802738,0.407676786868863,-0.1496291923878862,-3.3238198267240597,0.016451428554352616,"Init: 0.66, Maint: 0.75, Limit: 750000, Slippage: 0.88"
18,0.9748953974895398,0.0013295385711341728,-0.02545788222751333,326.16039700896494,0.44053231532919884,-0.16181530214458092,-3.4091261258418895,0.01882300630551978,"Init: 0.66, Maint: 0.75, Limit: 750000, Slippage: 0.88"
19,0.9735006973500697,0.0015555853697376346,-0.028523585214365377,365.4374623346341,0.4714737091812845,-0.17331514575650814,-3.4737479938148645,0.021264236413282782,"Init: 0.66, Maint: 0.75, Limit: 750000, Slippage: 0.88"
20,0.9721059972105998,0.0017962998239810235,-0.03161847518024341,405.08846436805976,0.5005116769871029,-0.1841307801285995,-3.5206643208045776,0.023761996122739576,"Init: 0.66, Maint: 0.75, Limit: 750000, Slippage: 0.88"
21,0.9707112970711297,0.0020507283795013903,-0.03472773051194611,444.9235120883449,0.5276895609578071,-0.19427633705693848,-3.552507699753359,0.026304891118261207,"Init: 0.66, Maint: 0.75, Limit: 750000, Slippage: 0.88"
22,0.9693165969316597,0.0023179471328294704,-0.037838966759593085,484.7839388376103,0.5530723357327546,-0.20377401135118786,-3.5715772307183946,0.028883068331243687,"Init: 0.66, Maint: 0.75, Limit: 750000, Slippage: 0.88"
23,0.9679218967921897,0.002597070282481559,-0.040941896881188655,524.5379494542876,0.5767385692009508,-0.21265112203230216,-3.5798643805035586,0.03148803377942291,"Init: 0.66, Maint: 0.75, Limit: 750000, Slippage: 0.88"
