,Underlying (collateral price),Put value,Delta,Gamma,Vega,Theta,Speed,Initial Asset Weight,Maintenance Asset Weight,Leverage,Liquidation Price,Liqudidation Price Drop (%),Collateral Value,Borrow Value,Deposit Limit,Percent of Market Cap,Slippage %,Maximum Potential Exposure (Monthly Fees),Exposure Collateral Ratio (Monthly APR) (%),Collateral APR Required (%),Short Hedge Required,Months of Fees To Cover Short
10,2.032,0.1195220966889407,-0.24405307613610727,0.4544386028396511,0.6374578063254029,-0.13905240145802616,-0.4482542649921493,0.66,0.75,2.9411764705882355,1.7881600000000002,-11.999999999999991,88235294.11764707,58235294.11764707,30000000,26.598840508847104,1.673,3425395.8928338154,3.8821153452116572,46.58538414253989,-14212502.669102719,-4.149156218361894
11,2.032,0.1195220966889407,-0.24405307613610727,0.4544386028396511,0.6374578063254029,-0.13905240145802616,-0.4482542649921493,0.66,0.75,2.9411764705882355,1.7881600000000002,-11.999999999999991,147058823.5294118,97058823.52941178,50000000,44.33140084807851,1.673,5708993.154723025,3.8821153452116564,46.58538414253988,-23687504.448504534,-4.149156218361895
12,2.032,0.04238572203005567,-0.1093492129913679,0.27122977597493003,0.38046402071198243,-0.07785593130346112,-0.37130832630808164,0.66,0.9,2.9411764705882355,1.4901333333333333,-26.666666666666668,2205882.352941177,1455882.3529411766,750000,0.6649710127211776,0.88,30368.41767727761,1.3767016013699183,16.52041921643902,-159199.58950213858,-5.242274760375664
13,2.032,0.04238572203005567,-0.1093492129913679,0.27122977597493003,0.38046402071198243,-0.07785593130346112,-0.37130832630808164,0.66,0.9,2.9411764705882355,1.4901333333333333,-26.666666666666668,2941176.4705882357,1941176.4705882354,1000000,0.8866280169615702,1.16,40491.22356970348,1.376701601369918,16.520419216439016,-212266.11933618478,-5.242274760375665
14,2.032,0.04238572203005567,-0.1093492129913679,0.27122977597493003,0.38046402071198243,-0.07785593130346112,-0.37130832630808164,0.66,0.9,2.9411764705882355,1.4901333333333333,-26.666666666666668,5882352.941176471,3882352.941176471,2000000,1.7732560339231405,1.53,80982.44713940696,1.376701601369918,16.520419216439016,-424532.23867236957,-5.242274760375665
15,2.032,0.04238572203005567,-0.1093492129913679,0.27122977597493003,0.38046402071198243,-0.07785593130346112,-0.37130832630808164,0.66,0.9,2.9411764705882355,1.4901333333333333,-26.666666666666668,14705882.352941178,9705882.352941178,5000000,4.433140084807851,1.67,202456.1178485174,1.3767016013699183,16.52041921643902,-1061330.5966809238,-5.242274760375665
16,2.032,0.04238572203005567,-0.1093492129913679,0.27122977597493003,0.38046402071198243,-0.07785593130346112,-0.37130832630808164,0.66,0.9,2.9411764705882355,1.4901333333333333,-26.666666666666668,14705882.352941178,9705882.352941178,5000000,4.433140084807851,1.67,202456.1178485174,1.3767016013699183,16.52041921643902,-1061330.5966809238,-5.242274760375665
17,2.032,0.04238572203005567,-0.1093492129913679,0.27122977597493003,0.38046402071198243,-0.07785593130346112,-0.37130832630808164,0.66,0.9,2.9411764705882355,1.4901333333333333,-26.666666666666668,14705882.352941178,9705882.352941178,5000000,4.433140084807851,1.673,202456.1178485174,1.3767016013699183,16.52041921643902,-1061330.5966809238,-5.242274760375665
18,2.032,0.04238572203005567,-0.1093492129913679,0.27122977597493003,0.38046402071198243,-0.07785593130346112,-0.37130832630808164,0.66,0.9,2.9411764705882355,1.4901333333333333,-26.666666666666668,29411764.705882356,19411764.705882356,10000000,8.866280169615703,1.67,404912.2356970348,1.3767016013699183,16.52041921643902,-2122661.1933618477,-5.242274760375665
19,2.032,0.04238572203005567,-0.1093492129913679,0.27122977597493003,0.38046402071198243,-0.07785593130346112,-0.37130832630808164,0.66,0.9,2.9411764705882355,1.4901333333333333,-26.666666666666668,58823529.41176471,38823529.41176471,20000000,17.732560339231405,1.67,809824.4713940696,1.3767016013699183,16.52041921643902,-4245322.386723695,-5.242274760375665
