,Underlying (collateral price),Put value,Delta,Gamma,Vega,Theta,Speed,Initial Asset Weight,Maintenance Asset Weight,Leverage,Liquidation Price,Liqudidation Price Drop (%),Collateral Value,Borrow Value,Deposit Limit,Percent of Market Cap,Slippage %,Insurance Fund Risk (Slippage),Exposure,Exposure Collateral Ratio (%),Collateral APR Required (%),Short Hedge Required
0,2,0.39782655575303727,-0.4373934075308491,-0.32501243938221663,0.5520759244300666,0.0585827437900011,0.20235351330107412,0.66,0.75,2.9411764705882355,1.76,-12.0,2205882.352941177,1455882.3529411766,750000,0.8147424869063211,0.88,6405.8823529411775,2548.430113029751,0.11552883179068202,1.3863459814881842,-2801.890710594675
1,2,0.39782655575303727,-0.4373934075308491,-0.32501243938221663,0.5520759244300666,0.0585827437900011,0.20235351330107412,0.66,0.75,2.9411764705882355,1.76,-12.0,2941176.4705882357,1941176.4705882354,1000000,1.086323315875095,1.16,11258.823529411764,4479.058986537137,0.15228800554226263,1.8274560665071515,-4924.535188317913
2,2,0.39782655575303727,-0.4373934075308491,-0.32501243938221663,0.5520759244300666,0.0585827437900011,0.20235351330107412,0.66,0.75,2.9411764705882355,1.76,-12.0,5882352.941176471,3882352.941176471,2000000,2.17264663175019,2.33,45229.41176470589,17993.461101088844,0.3058888387185103,3.6706660646221234,-19783.046532380584
3,2,0.39782655575303727,-0.4373934075308491,-0.32501243938221663,0.5520759244300666,0.0585827437900011,0.20235351330107412,0.66,0.75,2.9411764705882355,1.76,-12.0,14705882.352941178,9705882.352941178,5000000,5.431616579375474,5.83,282926.4705882353,112555.66332548064,0.7653785106132682,9.184542127359219,-123750.17305126479
4,2,0.24966021171976713,-0.3650502332805146,-0.45579344267381755,0.7742244779664846,0.06674337592817879,-0.29091497511016895,0.66,0.9,2.9411764705882355,1.4666666666666668,-26.66666666666666,2205882.352941177,1455882.3529411766,750000,0.8147424869063211,0.88,6405.8823529411775,1599.2939444872143,0.07250132548342036,0.8700159058010444,-2338.4688473087085
5,2,0.24966021171976713,-0.3650502332805146,-0.45579344267381755,0.7742244779664846,0.06674337592817879,-0.29091497511016895,0.66,0.9,2.9411764705882355,1.4666666666666668,-26.66666666666666,2941176.4705882357,1941176.4705882354,1000000,1.086323315875095,1.16,11258.823529411764,2810.880266068437,0.09556992904632684,1.1468391485559222,-4110.036155875911
6,2,0.24966021171976713,-0.3650502332805146,-0.45579344267381755,0.7742244779664846,0.06674337592817879,-0.29091497511016895,0.66,0.9,2.9411764705882355,1.4666666666666668,-26.66666666666666,5882352.941176471,3882352.941176471,2000000,2.17264663175019,2.33,45229.41176470589,11291.984517136998,0.19196373679132894,2.3035648414959473,-16511.00731584634
7,2,0.24966021171976713,-0.3650502332805146,-0.45579344267381755,0.7742244779664846,0.06674337592817879,-0.29091497511016895,0.66,0.9,2.9411764705882355,1.4666666666666668,-26.66666666666666,14705882.352941178,9705882.352941178,5000000,5.431616579375474,5.83,282926.4705882353,70635.48254818529,0.4803212813276599,5.763855375931919,-103282.37408946795
8,2,0.3509146726023599,-0.4224675658105475,-0.3777461375767005,0.6416509734179568,0.06251488305726595,0.05904180449192206,0.75,0.9,4.0,1.6666666666666665,-16.666666666666675,3000000.0,2250000.0,750000,0.8147424869063211,0.88,9900.0,3474.055258763363,0.11580184195877877,1.3896221035053453,-4182.42890152442
9,2,0.3509146726023599,-0.4224675658105475,-0.3777461375767005,0.6416509734179568,0.06251488305726595,0.05904180449192206,0.75,0.9,4.0,1.6666666666666665,-16.666666666666675,4000000.0,3000000.0,1000000,1.086323315875095,1.16,17400.0,6105.915303281063,0.15264788258202655,1.8317745909843186,-7350.935645103526
10,2,0.3509146726023599,-0.4224675658105475,-0.3777461375767005,0.6416509734179568,0.06251488305726595,0.05904180449192206,0.75,0.9,4.0,1.6666666666666665,-16.666666666666675,8000000.0,6000000.0,2000000,2.17264663175019,2.33,69900.0,24528.935614904956,0.30661169518631193,3.679340342235743,-29530.48285015727
11,2,0.3509146726023599,-0.4224675658105475,-0.3777461375767005,0.6416509734179568,0.06251488305726595,0.05904180449192206,0.75,0.9,4.0,1.6666666666666665,-16.666666666666675,20000000.0,15000000.0,5000000,5.431616579375474,5.83,437250.0,153437.44059538186,0.7671872029769093,9.206246435722912,-184723.9431506619
